"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Tue, Oct 31, 2000","Box Score","Charlotte Hornets","106","Atlanta Hawks","82","",""
"2","Tue, Oct 31, 2000","Box Score","Sacramento Kings","100","Chicago Bulls","81","",""
"3","Tue, Oct 31, 2000","Box Score","Milwaukee Bucks","93","Dallas Mavericks","97","",""
"4","Tue, Oct 31, 2000","Box Score","Phoenix Suns","94","Golden State Warriors","96","",""
"5","Tue, Oct 31, 2000","Box Score","Minnesota Timberwolves","106","Houston Rockets","98","",""
"6","Tue, Oct 31, 2000","Box Score","Cleveland Cavaliers","86","New Jersey Nets","82","",""
"7","Tue, Oct 31, 2000","Box Score","Philadelphia 76ers","101","New York Knicks","72","",""
"8","Tue, Oct 31, 2000","Box Score","Washington Wizards","86","Orlando Magic","97","",""
"9","Tue, Oct 31, 2000","Box Score","Los Angeles Lakers","96","Portland Trail Blazers","86","",""
"10","Tue, Oct 31, 2000","Box Score","Indiana Pacers","85","San Antonio Spurs","98","",""
"11","Tue, Oct 31, 2000","Box Score","Detroit Pistons","104","Toronto Raptors","95","",""
"12","Tue, Oct 31, 2000","Box Score","Los Angeles Clippers","94","Utah Jazz","107","",""
"13","Tue, Oct 31, 2000","Box Score","Seattle SuperSonics","88","Vancouver Grizzlies","94","",""
"14","Wed, Nov 1, 2000","Box Score","Detroit Pistons","83","Boston Celtics","103","",""
"15","Wed, Nov 1, 2000","Box Score","Washington Wizards","95","Charlotte Hornets","77","",""
"16","Wed, Nov 1, 2000","Box Score","Sacramento Kings","100","Cleveland Cavaliers","102","2OT",""
"17","Wed, Nov 1, 2000","Box Score","Utah Jazz","97","Los Angeles Lakers","92","",""
"18","Wed, Nov 1, 2000","Box Score","Orlando Magic","79","Miami Heat","105","",""
"19","Wed, Nov 1, 2000","Box Score","Toronto Raptors","98","Philadelphia 76ers","104","",""
"20","Wed, Nov 1, 2000","Box Score","Denver Nuggets","99","Seattle SuperSonics","112","",""
"21","Thu, Nov 2, 2000","Box Score","Indiana Pacers","88","Dallas Mavericks","94","",""
"22","Thu, Nov 2, 2000","Box Score","Golden State Warriors","97","Denver Nuggets","101","",""
"23","Thu, Nov 2, 2000","Box Score","Milwaukee Bucks","93","Houston Rockets","115","",""
"24","Thu, Nov 2, 2000","Box Score","Vancouver Grizzlies","99","Los Angeles Clippers","91","",""
"25","Thu, Nov 2, 2000","Box Score","Atlanta Hawks","69","New York Knicks","94","",""
"26","Thu, Nov 2, 2000","Box Score","Portland Trail Blazers","82","Phoenix Suns","108","",""
"27","Thu, Nov 2, 2000","Box Score","Minnesota Timberwolves","91","San Antonio Spurs","103","",""
"28","Fri, Nov 3, 2000","Box Score","Toronto Raptors","91","Boston Celtics","93","",""
"29","Fri, Nov 3, 2000","Box Score","Miami Heat","79","Charlotte Hornets","83","",""
"30","Fri, Nov 3, 2000","Box Score","New Jersey Nets","92","Chicago Bulls","82","",""
"31","Fri, Nov 3, 2000","Box Score","Sacramento Kings","100","Detroit Pistons","93","",""
"32","Fri, Nov 3, 2000","Box Score","Philadelphia 76ers","87","Orlando Magic","80","",""
"33","Fri, Nov 3, 2000","Box Score","New York Knicks","80","Washington Wizards","76","",""
"34","Sat, Nov 4, 2000","Box Score","Orlando Magic","107","Atlanta Hawks","104","",""
"35","Sat, Nov 4, 2000","Box Score","Boston Celtics","89","Cleveland Cavaliers","91","",""
"36","Sat, Nov 4, 2000","Box Score","Utah Jazz","112","Dallas Mavericks","106","",""
"37","Sat, Nov 4, 2000","Box Score","Phoenix Suns","102","Denver Nuggets","99","",""
"38","Sat, Nov 4, 2000","Box Score","San Antonio Spurs","117","Golden State Warriors","105","",""
"39","Sat, Nov 4, 2000","Box Score","Chicago Bulls","81","Indiana Pacers","94","",""
"40","Sat, Nov 4, 2000","Box Score","Houston Rockets","74","Los Angeles Clippers","77","",""
"41","Sat, Nov 4, 2000","Box Score","Philadelphia 76ers","84","Miami Heat","82","",""
