"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Tue, Oct 30, 2001","Box Score","Boston Celtics","108","Cleveland Cavaliers","89","",""
"2","Tue, Oct 30, 2001","Box Score","Detroit Pistons","87","Dallas Mavericks","94","",""
"3","Tue, Oct 30, 2001","Box Score","Atlanta Hawks","84","Houston Rockets","89","OT",""
"4","Tue, Oct 30, 2001","Box Score","Portland Trail Blazers","87","Los Angeles Lakers","98","",""
"5","Tue, Oct 30, 2001","Box Score","Philadelphia 76ers","74","Minnesota Timberwolves","83","",""
"6","Tue, Oct 30, 2001","Box Score","Indiana Pacers","97","New Jersey Nets","103","",""
"7","Tue, Oct 30, 2001","Box Score","Washington Wizards","91","New York Knicks","93","",""
"8","Tue, Oct 30, 2001","Box Score","Toronto Raptors","85","Orlando Magic","114","",""
"9","Tue, Oct 30, 2001","Box Score","Denver Nuggets","99","Phoenix Suns","96","",""
"10","Tue, Oct 30, 2001","Box Score","Seattle SuperSonics","95","Sacramento Kings","101","",""
"11","Tue, Oct 30, 2001","Box Score","Los Angeles Clippers","98","San Antonio Spurs","109","",""
"12","Tue, Oct 30, 2001","Box Score","Milwaukee Bucks","119","Utah Jazz","112","OT",""
"13","Wed, Oct 31, 2001","Box Score","New Jersey Nets","95","Boston Celtics","92","",""
"14","Wed, Oct 31, 2001","Box Score","Cleveland Cavaliers","94","Charlotte Hornets","100","",""
"15","Wed, Oct 31, 2001","Box Score","Indiana Pacers","98","Chicago Bulls","73","",""
"16","Wed, Oct 31, 2001","Box Score","Toronto Raptors","92","Miami Heat","97","",""
"17","Wed, Oct 31, 2001","Box Score","Golden State Warriors","87","Portland Trail Blazers","92","",""
"18","Thu, Nov 1, 2001","Box Score","Washington Wizards","98","Atlanta Hawks","88","",""
"19","Thu, Nov 1, 2001","Box Score","Milwaukee Bucks","102","Denver Nuggets","101","",""
"20","Thu, Nov 1, 2001","Box Score","Phoenix Suns","107","Golden State Warriors","101","",""
"21","Thu, Nov 1, 2001","Box Score","Los Angeles Clippers","92","Houston Rockets","98","OT",""
"22","Thu, Nov 1, 2001","Box Score","Detroit Pistons","90","Memphis Grizzlies","80","",""
"23","Thu, Nov 1, 2001","Box Score","Dallas Mavericks","99","Philadelphia 76ers","92","",""
"24","Thu, Nov 1, 2001","Box Score","San Antonio Spurs","108","Seattle SuperSonics","114","",""
"25","Thu, Nov 1, 2001","Box Score","Los Angeles Lakers","105","Utah Jazz","101","",""
"26","Fri, Nov 2, 2001","Box Score","Chicago Bulls","82","Boston Celtics","96","",""
"27","Fri, Nov 2, 2001","Box Score","New York Knicks","93","Charlotte Hornets","97","",""
"28","Fri, Nov 2, 2001","Box Score","New Jersey Nets","88","Detroit Pistons","102","",""
"29","Fri, Nov 2, 2001","Box Score","Orlando Magic","107","Indiana Pacers","117","",""
"30","Fri, Nov 2, 2001","Box Score","Phoenix Suns","94","Los Angeles Lakers","117","",""
"31","Fri, Nov 2, 2001","Box Score","Cleveland Cavaliers","90","Miami Heat","83","",""
"32","Fri, Nov 2, 2001","Box Score","Memphis Grizzlies","102","Minnesota Timberwolves","111","",""
"33","Fri, Nov 2, 2001","Box Score","Dallas Mavericks","92","Toronto Raptors","109","",""
"34","Sat, Nov 3, 2001","Box Score","Miami Heat","83","Atlanta Hawks","90","",""
"35","Sat, Nov 3, 2001","Box Score","New York Knicks","79","Chicago Bulls","84","",""
"36","Sat, Nov 3, 2001","Box Score","Orlando Magic","99","Cleveland Cavaliers","69","",""
"37","Sat, Nov 3, 2001","Box Score","Sacramento Kings","106","Denver Nuggets","94","",""
"38","Sat, Nov 3, 2001","Box Score","Minnesota Timberwolves","90","Houston Rockets","88","",""
"39","Sat, Nov 3, 2001","Box Score","Golden State Warriors","110","Los Angeles Clippers","108","OT",""
"40","Sat, Nov 3, 2001","Box Score","Boston Celtics","99","Milwaukee Bucks","105","",""
"41","Sat, Nov 3, 2001","Box Score","Charlotte Hornets","85","New Jersey Nets","95","",""
"42","Sat, Nov 3, 2001","Box Score","San Antonio Spurs","106","Portland Trail Blazers","90","",""
