date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linenscombo,linel2,linegametime,lineray1,linefox,linedunk,linegirl,linegabe,lineboyd,linemass,linedok,lineblc
10/31/2009,New York,127,Philadelphia,141,-2,1.07,-0.46,0.31,-1.39,-1.5,2.42,1.7,.,.,-0.75,1.48,3,3.1,1.15,.,.,.,-0.32,.
10/31/2009,San Antonio,113,Sacramento,94,16.5,11.87,12.17,12,12.35,15,5.05,14.4,.,.,13,7.16,13,17.71,12.32,.,.,.,11.69,.
10/31/2009,Washington,123,New Jersey,104,5,5.13,7.64,8.73,6.77,8,4.29,11,.,.,8.75,3.44,0.01,8.9,-3.21,.,.,.,2.59,.
11/1/2009,Boston,97,New orleans,87,10.5,12.27,14.62,13.43,15.95,11.5,5.57,11.9,.,.,9.25,15.02,16,19.65,6.81,.,.,.,9.13,.
11/1/2009,Denver,133,Memphis,123,10.5,12.84,15.58,15.85,15.57,12.5,5.05,15.9,.,.,11.25,13.5,13,14.92,13.08,.,.,.,10.32,.
11/1/2009,LA Lakers,118,Atlanta,110,7,6.78,3.55,3.79,3.3,7,1.95,10.2,.,.,7.5,-0.06,14,10.84,9.82,.,.,.,6.42,.
11/1/2009,Miami,95,Chicago,87,4.5,5.27,3.25,1.76,4.65,4,4.05,7.9,.,.,4,-0.21,11,10.2,4.17,.,.,.,5.14,.
11/1/2009,Oklahoma City,74,Portland,83,-1.5,-2.42,0.2,0.76,-0.39,-3,3.57,-3.2,.,.,-1.5,-5.79,-9,-0.12,-7.33,.,.,.,-1.16,.
11/1/2009,Phoenix,120,Minnesota,112,13,9.49,11.83,11.08,12.64,13.5,4.05,12.1,.,.,9.25,4.59,11,14.26,6.91,.,.,.,9.05,.
11/1/2009,Toronto,116,Orlando,125,-5.5,-3.96,-3.77,-4.15,-3.41,-5.5,2.4,-1.9,.,.,-1.5,-13.62,-6,-5.36,-3.68,.,.,.,-2.37,.
11/2/2009,Charlotte,79,New Jersey,68,8,4.35,4.91,6.61,2.7,7,3.05,5.6,.,.,6.5,-0.11,2,8.75,3.45,.,.,.,4.98,.
11/2/2009,LA Clippers,93,Minnesota,90,8.5,2.72,2.5,0.67,3.85,8,1.42,7.5,.,.,5.25,4.45,0.01,2.12,-1.57,.,.,.,3.5,.
11/2/2009,New York,117,New orleans,111,-2.5,1.05,-0.66,-0.28,-1.08,-2.5,2.95,-1.5,.,.,-2.25,3.83,6,5.29,-3.01,.,.,.,0.55,.
11/2/2009,Sacramento,127,Memphis,116,1,1.68,2.32,1.64,3.12,1,2.95,5.2,.,.,0.5,1.43,-5,2.5,3.18,.,.,.,1.24,.
11/2/2009,Utah,96,Houston,113,8.5,3.65,2.52,1.49,3.35,8.5,3.97,5.7,.,.,5.75,7.03,-2,5.36,1.57,.,.,.,4.31,.
11/3/2009,Chicago,83,Milwaukee,81,9,5.88,5.28,6.27,4.29,8,3.21,10.7,.,.,7,6.88,2,7.43,6.77,.,.,.,4.24,.
11/3/2009,Cleveland,102,Washington,90,11.5,7.99,6.73,6.66,6.85,11.5,2.23,10.1,.,.,8,5.39,13,8.62,9.69,.,.,.,9.37,.
11/3/2009,Dallas,96,Utah,85,6.5,5.54,6.91,6.38,7.44,5,4.05,7,.,.,4.75,3.01,7,6.98,3.39,.,.,.,5.41,.
11/3/2009,Detroit,85,Orlando,80,-6.5,-4.77,-3.74,-5.28,-2.3,-6.5,2.41,-1.9,.,.,-2.5,-16.88,-6,-8.34,-5.61,.,.,.,-1.35,.
11/3/2009,Indiana,93,Denver,111,-5.5,-4.82,-4.04,-6.4,-2.58,-5,0.38,-5.1,.,.,-4,-7.89,-5,-6.35,-9.22,.,.,.,-2.04,.
11/3/2009,Miami,96,Phoenix,104,4,4.09,4.46,4.08,4.85,3,3,7.6,.,.,3.5,3.7,7,1.55,2.65,.,.,.,2.94,.
11/3/2009,Oklahoma City,98,LA Lakers,101,-7.5,-3.42,-0.55,-2.1,0.86,-7,4,-5.8,.,.,-4,-10.3,-12,-6.33,4.83,.,.,.,-3.4,.
11/3/2009,Philadelphia,74,Boston,105,-7,-4.09,-2.08,-1.19,-3.21,-6,0.96,-3.5,.,.,-2.75,-7.47,-5,-8.49,-8.05,.,.,.,-2.21,.
11/3/2009,Portland,91,Atlanta,97,7,5.29,7.61,7.62,7.66,7,2.48,7.6,.,.,6.5,-2.6,11,8.13,-0.97,.,.,.,5.47,.
11/4/2009,Golden State,113,Memphis,105,6,5.2,8.57,8.46,8.68,6,4.01,5.8,.,.,6.25,8.4,1,-2.36,4.15,.,.,.,7.66,.
11/4/2009,Houston,102,LA Lakers,103,-2,2,4.73,2.93,6.06,-2,1.51,1.5,.,.,-2.5,0.89,-1,2.26,5.97,.,.,.,2.36,.
