,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
19,20,"Thu, Oct 30, 2014",Box Score,Washington Wizards,105,Orlando Magic,98,,,2014-10-30 00:00:00,98,105,10/30/2014,Orlando,Washington,-4.5,-2.54,-5.0,-4.54,-5.14,-5.0,2.85,-3.4,-4.64,2.75,-7.0,-2.0,,4.99,-2.9,-6.4,,
20,21,"Fri, Oct 31, 2014",Box Score,Cleveland Cavaliers,114,Chicago Bulls,108,OT,,2014-10-31 00:00:00,108,114,,,,,,,,,,,,,,,,,,,,,
21,22,"Fri, Oct 31, 2014",Box Score,Memphis Grizzlies,97,Indiana Pacers,89,,,2014-10-31 00:00:00,89,97,,,,,,,,,,,,,,,,,,,,,
22,23,"Fri, Oct 31, 2014",Box Score,Los Angeles Clippers,118,Los Angeles Lakers,111,,,2014-10-31 00:00:00,111,118,,,,,,,,,,,,,,,,,,,,,
23,24,"Fri, Oct 31, 2014",Box Score,Philadelphia 76ers,81,Milwaukee Bucks,93,,,2014-10-31 00:00:00,93,81,,,,,,,,,,,,,,,,,,,,,
24,25,"Fri, Oct 31, 2014",Box Score,San Antonio Spurs,89,Phoenix Suns,94,,,2014-10-31 00:00:00,94,89,,,,,,,,,,,,,,,,,,,,,
25,26,"Fri, Oct 31, 2014",Box Score,Portland Trail Blazers,94,Sacramento Kings,103,,,2014-10-31 00:00:00,103,94,,,,,,,,,,,,,,,,,,,,,
26,27,"Sat, Nov 1, 2014",Box Score,Indiana Pacers,92,Atlanta Hawks,102,,,2014-11-01 00:00:00,102,92,11/01/2014,Atlanta,Indiana,10.5,5.19,9.05,11.14,7.97,9.5,1.33,4.2,11.26,0.5,3.0,5.0,1.36,18.14,-0.21,-1.1,7.0,-0.77
27,28,"Sat, Nov 1, 2014",Box Score,Memphis Grizzlies,71,Charlotte Hornets,69,,,2014-11-01 00:00:00,69,71,11/01/2014,Charlotte,Memphis,3.5,1.66,4.09,5.53,2.17,2.5,2.33,2.8,5.96,1.5,0.01,-3.0,-0.37,4.23,-1.92,-1.4,0.5,2.51
28,29,"Sat, Nov 1, 2014",Box Score,Brooklyn Nets,102,Detroit Pistons,90,,,2014-11-01 00:00:00,90,102,11/01/2014,Detroit,Brooklyn,3.0,-0.73,-1.81,-5.44,2.26,3.5,2.32,0.4,-4.98,2.5,1.0,0.0,-1.72,3.01,-0.39,-5.0,,-2.39
