,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,game_date,hscore,rscore,date,home,road,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
266,266,"Wed, Dec 3, 2014",Box Score,Memphis Grizzlies,96,Houston Rockets,105,,,2014-12-03 00:00:00,105,96,12/03/2014,Houston,Memphis,-4.5,-0.55,-0.85,-2.13,-1.55,-5.0,0.6,3.2,0.81,-8.0,-2.0,-3.08,4.78,3.44,-0.72,0.5,,-2.64
267,267,"Wed, Dec 3, 2014",Box Score,Orlando Magic,86,Los Angeles Clippers,114,,,2014-12-03 00:00:00,114,86,12/03/2014,LA Clippers,Orlando,15.0,12.46,9.53,8.56,10.39,13.5,8.77,14.5,9.93,15.15,16.0,14.48,13.28,15.81,15.08,10.3,,12.67
268,268,"Wed, Dec 3, 2014",Box Score,Atlanta Hawks,112,Miami Heat,102,,,2014-12-03 00:00:00,102,112,12/03/2014,Miami,Atlanta,5.0,0.95,-0.82,-0.36,-0.49,3.5,2.76,6.2,-1.7,-5.57,0.01,1.79,6.34,1.24,1.28,1.9,,0.73
269,269,"Wed, Dec 3, 2014",Box Score,Dallas Mavericks,107,Milwaukee Bucks,105,,,2014-12-03 00:00:00,105,107,12/03/2014,Milwaukee,Dallas,-5.0,-5.54,-5.05,-4.18,-5.95,-4.5,-1.85,-3.6,-5.35,-11.86,-6.0,-5.08,-7.17,-4.05,-6.16,-5.0,,-6.32
270,270,"Wed, Dec 3, 2014",Box Score,Philadelphia 76ers,85,Minnesota Timberwolves,77,,,2014-12-03 00:00:00,77,85,12/03/2014,Minnesota,Philadelphia,7.0,8.29,6.33,6.67,5.68,6.5,5.68,8.2,6.25,26.29,7.0,5.05,13.46,3.21,9.15,9.2,,3.91
271,271,"Wed, Dec 3, 2014",Box Score,Toronto Raptors,123,Utah Jazz,104,,,2014-12-03 00:00:00,104,123,12/03/2014,Utah,Toronto,-4.0,-7.69,-8.22,-8.41,-7.95,-5.5,-5.2,-3.7,-8.43,-24.71,-10.0,-5.86,-5.43,4.32,-10.44,-5.2,,-8.4
272,272,"Wed, Dec 3, 2014",Box Score,Los Angeles Lakers,95,Washington Wizards,111,,,2014-12-03 00:00:00,111,95,12/03/2014,Washington,LA Lakers,8.5,7.65,6.35,6.21,6.5,8.5,7.8,10.5,6.47,2.86,8.0,9.98,10.31,8.49,8.81,8.0,,6.87
273,273,"Thu, Dec 4, 2014",Box Score,New Orleans Pelicans,85,Golden State Warriors,112,,,2014-12-04 00:00:00,112,85,12/04/2014,Golden State,New Orleans,8.5,9.69,8.06,8.35,7.13,7.5,6.42,10.8,8.68,21.14,9.0,9.35,10.56,6.32,14.01,8.6,,7.27
274,274,"Thu, Dec 4, 2014",Box Score,Cleveland Cavaliers,90,New York Knicks,87,,,2014-12-04 00:00:00,87,90,12/04/2014,New York,Cleveland,-7.0,-7.69,-6.64,-7.46,-6.78,-7.5,-1.7,-2.9,-5.73,-30.14,-6.0,-9.19,-0.6,-8.09,-8.7,-3.4,,-10.37
275,275,"Thu, Dec 4, 2014",Box Score,Indiana Pacers,82,Portland Trail Blazers,88,,,2014-12-04 00:00:00,88,82,12/04/2014,Portland,Indiana,8.5,10.21,9.44,8.79,9.93,8.5,9.32,9.7,9.72,16.85,9.0,8.99,8.05,10.36,13.8,10.0,,8.93
276,276,"Fri, Dec 5, 2014",Box Score,Los Angeles Lakers,96,Boston Celtics,113,,,2014-12-05 00:00:00,113,96,12/05/2014,Boston,LA Lakers,3.5,3.28,3.32,1.42,3.75,4.0,5.34,4.4,5.1,-9.14,3.0,3.66,5.91,3.08,8.0,5.3,,2.82
277,277,"Fri, Dec 5, 2014",Box Score,Atlanta Hawks,98,Brooklyn Nets,75,,,2014-12-05 00:00:00,75,98,12/05/2014,Brooklyn,Atlanta,-1.5,-1.03,-1.62,-2.8,-0.65,1.0,0.54,4.4,-1.28,-15.29,-1.0,0.25,3.77,-2.24,0.61,0.7,,0.21
278,278,"Fri, Dec 5, 2014",Box Score,New York Knicks,102,Charlotte Hornets,103,,,2014-12-05 00:00:00,103,102,12/05/2014,Charlotte,New York,5.0,5.1,3.13,3.5,2.85,3.5,4.73,5.6,3.09,15.14,3.0,7.01,3.17,4.84,4.97,5.2,,5.13
279,279,"Fri, Dec 5, 2014",Box Score,Phoenix Suns,118,Dallas Mavericks,106,,,2014-12-05 00:00:00,106,118,12/05/2014,Dallas,Phoenix,5.5,7.15,5.26,4.49,6.56,5.5,6.57,11.7,4.94,18.43,8.0,6.08,4.57,4.45,7.77,5.7,,5.56
280,280,"Fri, Dec 5, 2014",Box Score,San Antonio Spurs,107,Memphis Grizzlies,101,,,2014-12-05 00:00:00,101,107,12/05/2014,Memphis,San Antonio,0.0,2.34,2.52,3.41,2.62,1.5,6.69,2.4,1.76,9.86,2.0,0.19,-2.48,-2.81,4.08,0.5,,1.96
281,281,"Fri, Dec 5, 2014",Box Score,Miami Heat,85,Milwaukee Bucks,109,,,2014-12-05 00:00:00,109,85,12/05/2014,Milwaukee,Miami,1.5,1.33,2.05,0.67,2.15,1.5,1.32,2.9,3.57,5.0,3.0,0.53,-4.03,1.21,0.89,-1.2,,0.57
282,282,"Fri, Dec 5, 2014",Box Score,Houston Rockets,114,Minnesota Timberwolves,112,OT,,2014-12-05 00:00:00,112,114,12/05/2014,Minnesota,Houston,-7.0,-6.75,-9.43,-9.93,-8.71,-6.0,-3.6,-5.5,-10.08,-5.29,-10.0,-5.95,-4.21,-4.76,-6.05,-5.1,,-5.83
283,283,"Fri, Dec 5, 2014",Box Score,Oklahoma City Thunder,103,Philadelphia 76ers,91,,,2014-12-05 00:00:00,91,103,12/05/2014,Philadelphia,Oklahoma City,-13.0,-7.1,-5.55,-4.57,-6.37,-13.0,0.64,-5.2,-5.82,-17.29,-7.0,-7.66,-10.91,-9.5,-7.36,-5.7,,
284,284,"Fri, Dec 5, 2014",Box Score,Indiana Pacers,101,Sacramento Kings,102,OT,,2014-12-05 00:00:00,102,101,12/05/2014,Sacramento,Indiana,3.5,7.19,6.45,5.83,6.55,2.0,6.16,5.4,7.08,23.29,5.0,6.29,3.14,4.05,9.95,7.3,,4.11
285,285,"Fri, Dec 5, 2014",Box Score,Cleveland Cavaliers,105,Toronto Raptors,91,,,2014-12-05 00:00:00,91,105,12/05/2014,Toronto,Cleveland,4.0,4.54,6.42,5.37,6.47,3.0,7.68,5.4,7.68,-9.71,7.0,4.1,5.07,-0.02,8.7,5.7,,3.67
286,286,"Fri, Dec 5, 2014",Box Score,Orlando Magic,98,Utah Jazz,93,,,2014-12-05 00:00:00,93,98,12/05/2014,Utah,Orlando,5.5,0.93,2.15,0.32,2.93,5.0,3.23,3.8,3.64,-26.29,1.0,3.13,2.85,6.05,5.88,4.2,,0.13
287,287,"Fri, Dec 5, 2014",Box Score,Denver Nuggets,89,Washington Wizards,119,,,2014-12-05 00:00:00,119,89,12/05/2014,Washington,Denver,4.5,3.81,3.25,3.76,2.91,5.5,5.55,7.9,3.07,-3.71,3.0,3.91,6.59,5.53,2.27,5.4,,3.89
288,288,"Sat, Dec 6, 2014",Box Score,Golden State Warriors,112,Chicago Bulls,102,,,2014-12-06 00:00:00,102,112,12/06/2014,Chicago,Golden State,-3.0,-3.51,-5.03,-5.49,-4.04,-1.0,1.28,2.6,-5.45,-10.0,-4.0,-4.98,-2.08,-2.4,-5.81,-3.7,,-0.04
289,289,"Sat, Dec 6, 2014",Box Score,Philadelphia 76ers,108,Detroit Pistons,101,OT,,2014-12-06 00:00:00,101,108,12/06/2014,Detroit,Philadelphia,9.5,7.46,5.14,3.02,6.35,8.5,3.33,7.0,6.2,14.29,5.0,11.35,9.69,8.61,7.62,8.4,,8.4
290,290,"Sat, Dec 6, 2014",Box Score,Phoenix Suns,95,Houston Rockets,100,,,2014-12-06 00:00:00,100,95,12/06/2014,Houston,Phoenix,-1.5,4.46,3.42,4.3,3.14,1.5,5.26,7.8,2.9,14.29,3.0,1.52,4.45,0.95,5.41,5.0,,0.94
291,291,"Sat, Dec 6, 2014",Box Score,New Orleans Pelicans,100,Los Angeles Clippers,120,,,2014-12-06 00:00:00,120,100,12/06/2014,LA Clippers,New Orleans,9.0,9.06,5.4,5.21,5.94,8.5,5.28,11.4,5.12,21.43,13.0,10.02,9.78,9.12,9.33,5.6,,10.22
292,292,"Sat, Dec 6, 2014",Box Score,Orlando Magic,105,Sacramento Kings,96,,,2014-12-06 00:00:00,96,105,12/06/2014,Sacramento,Orlando,6.0,6.98,7.62,6.43,8.15,6.5,8.1,7.4,8.6,1.0,9.0,7.31,6.35,-0.41,14.26,8.9,,4.96
293,293,"Sat, Dec 6, 2014",Box Score,Minnesota Timberwolves,101,San Antonio Spurs,123,,,2014-12-06 00:00:00,123,101,12/06/2014,San Antonio,Minnesota,13.5,14.97,13.59,12.23,14.84,12.5,7.26,20.0,14.2,18.57,20.0,17.9,12.7,14.63,16.17,11.6,,15.93
294,294,"Sun, Dec 7, 2014",Box Score,Denver Nuggets,84,Atlanta Hawks,96,,,2014-12-07 00:00:00,96,84,12/07/2014,Atlanta,Denver,5.5,4.21,4.2,3.52,4.58,4.5,6.24,6.9,4.59,-5.28,7.0,3.31,4.22,7.39,,4.3,,3.78
295,295,"Sun, Dec 7, 2014",Box Score,Washington Wizards,93,Boston Celtics,101,,,2014-12-07 00:00:00,101,93,12/07/2014,Boston,Washington,-4.0,-4.0,-2.89,-4.51,-2.31,-4.0,-0.37,-1.6,-1.68,-18.57,-5.0,-4.54,-2.82,-2.09,,-2.8,,-2.76
296,296,"Sun, Dec 7, 2014",Box Score,Milwaukee Bucks,102,Dallas Mavericks,125,,,2014-12-07 00:00:00,125,102,12/07/2014,Dallas,Milwaukee,9.0,9.2,6.12,5.13,7.84,8.5,6.49,12.1,5.7,20.43,8.0,8.7,11.11,9.21,,9.4,,9.4
297,297,"Sun, Dec 7, 2014",Box Score,Oklahoma City Thunder,96,Detroit Pistons,94,,,2014-12-07 00:00:00,94,96,12/07/2014,Detroit,Oklahoma City,-9.0,-4.19,-3.32,-4.03,-2.9,-9.0,0.31,-4.3,-3.22,-6.0,-6.0,-4.88,-4.38,-7.32,,-1.9,,-6.52
298,298,"Sun, Dec 7, 2014",Box Score,New Orleans Pelicans,104,Los Angeles Lakers,87,,,2014-12-07 00:00:00,87,104,12/07/2014,LA Lakers,New Orleans,-2.5,-1.24,-3.05,-2.65,-2.89,-3.0,-0.88,1.6,-3.75,8.14,-1.0,-2.02,-3.58,-0.25,,-3.2,,-2.62
299,299,"Sun, Dec 7, 2014",Box Score,Miami Heat,87,Memphis Grizzlies,103,,,2014-12-07 00:00:00,103,87,12/07/2014,Memphis,Miami,8.0,10.42,8.9,8.26,9.86,9.0,7.01,10.4,9.2,32.43,14.0,9.07,3.72,6.04,,9.0,,7.55
300,300,"Sun, Dec 7, 2014",Box Score,Portland Trail Blazers,103,New York Knicks,99,,,2014-12-07 00:00:00,99,103,12/07/2014,New York,Portland,-7.0,-9.8,-9.91,-11.88,-9.24,-7.0,-6.09,-1.9,-8.69,-40.29,-7.0,-8.51,-3.62,-3.91,,-8.6,,-7.7
301,301,"Mon, Dec 8, 2014",Box Score,Cleveland Cavaliers,110,Brooklyn Nets,88,,,2014-12-08 00:00:00,88,110,12/08/2014,Brooklyn,Cleveland,-7.0,-4.8,-3.54,-3.78,-4.02,-7.0,1.22,-2.0,-2.85,-19.43,-6.0,-7.67,0.55,-7.58,-4.91,-2.5,,-4.75
302,302,"Mon, Dec 8, 2014",Box Score,Atlanta Hawks,108,Indiana Pacers,92,,,2014-12-08 00:00:00,92,108,12/08/2014,Indiana,Atlanta,1.0,-3.23,-3.02,-3.94,-2.02,1.0,-1.71,3.0,-3.02,-25.15,-3.0,0.79,1.55,-3.17,-1.02,-1.7,,-2.86
303,303,"Mon, Dec 8, 2014",Box Score,Phoenix Suns,120,Los Angeles Clippers,121,OT,,2014-12-08 00:00:00,121,120,12/08/2014,LA Clippers,Phoenix,7.5,7.9,4.96,4.28,6.01,7.5,5.32,11.3,4.66,20.72,10.0,6.33,6.23,8.41,8.76,6.9,,6.7
304,304,"Mon, Dec 8, 2014",Box Score,Golden State Warriors,102,Minnesota Timberwolves,86,,,2014-12-08 00:00:00,86,102,12/08/2014,Minnesota,Golden State,-14.0,-11.6,-13.59,-13.0,-13.62,-13.0,-5.81,-9.6,-14.61,-9.72,-14.0,-13.95,-7.22,-9.63,-13.85,-11.6,,-12.13
305,305,"Mon, Dec 8, 2014",Box Score,Utah Jazz,92,Sacramento Kings,101,,,2014-12-08 00:00:00,101,92,12/08/2014,Sacramento,Utah,5.5,8.54,7.16,7.26,7.23,5.0,7.65,8.6,7.02,30.29,9.0,5.38,6.05,-2.99,9.88,8.5,,8.53
306,306,"Mon, Dec 8, 2014",Box Score,Denver Nuggets,107,Toronto Raptors,112,OT,,2014-12-08 00:00:00,112,107,12/08/2014,Toronto,Denver,9.5,7.12,8.41,6.82,9.26,9.0,8.55,9.8,9.56,-13.85,8.0,9.54,8.76,7.75,12.68,7.6,,6.77
307,307,"Mon, Dec 8, 2014",Box Score,Boston Celtics,132,Washington Wizards,133,2OT,,2014-12-08 00:00:00,133,132,12/08/2014,Washington,Boston,9.0,8.26,4.64,5.13,5.3,8.0,5.42,10.6,3.5,24.57,9.0,8.54,7.87,7.75,8.03,7.3,,7.99
308,308,"Tue, Dec 9, 2014",Box Score,Toronto Raptors,101,Cleveland Cavaliers,105,,,2014-12-09 00:00:00,105,101,12/09/2014,Cleveland,Toronto,6.0,2.56,-1.18,-1.48,-0.15,5.5,-0.41,7.2,-1.97,15.71,4.0,3.4,0.52,8.68,0.01,-0.9,,2.42
309,309,"Tue, Dec 9, 2014",Box Score,Portland Trail Blazers,98,Detroit Pistons,86,,,2014-12-09 00:00:00,86,98,12/09/2014,Detroit,Portland,-7.5,-10.6,-10.17,-12.85,-9.57,-7.5,-6.78,-6.2,-8.59,-32.86,-11.0,-9.7,-6.47,-2.98,-11.42,-9.3,,-10.57
310,310,"Tue, Dec 9, 2014",Box Score,Sacramento Kings,95,Los Angeles Lakers,98,,,2014-12-09 00:00:00,98,95,12/09/2014,LA Lakers,Sacramento,3.5,-1.91,-5.0,-5.12,-4.35,2.0,-2.37,2.2,-5.6,3.0,-2.0,-0.75,-3.35,7.31,-3.96,-3.8,,-2.94
311,311,"Tue, Dec 9, 2014",Box Score,Dallas Mavericks,105,Memphis Grizzlies,114,,,2014-12-09 00:00:00,114,105,12/09/2014,Memphis,Dallas,3.0,3.47,1.78,3.2,1.97,4.0,3.67,4.2,0.28,13.0,4.0,1.98,1.26,0.67,5.43,4.4,,2.79
312,312,"Tue, Dec 9, 2014",Box Score,New York Knicks,93,New Orleans Pelicans,104,,,2014-12-09 00:00:00,104,93,12/09/2014,New Orleans,New York,6.5,8.54,7.31,8.31,8.24,7.5,7.46,9.4,5.84,20.86,8.0,7.17,3.91,7.13,8.11,9.0,,8.86
313,313,"Tue, Dec 9, 2014",Box Score,Milwaukee Bucks,101,Oklahoma City Thunder,114,,,2014-12-09 00:00:00,114,101,12/09/2014,Oklahoma City,Milwaukee,10.0,3.62,0.12,-1.41,1.86,8.5,0.57,8.8,-0.04,2.86,4.0,5.65,8.44,12.32,3.25,1.1,,3.11
314,314,"Tue, Dec 9, 2014",Box Score,Miami Heat,103,Phoenix Suns,97,,,2014-12-09 00:00:00,97,103,12/09/2014,Phoenix,Miami,4.5,5.98,5.72,3.14,6.4,5.5,3.45,6.8,8.2,7.0,12.0,4.79,3.48,3.55,8.71,5.2,,5.34
315,315,"Tue, Dec 9, 2014",Box Score,San Antonio Spurs,96,Utah Jazz,100,,,2014-12-09 00:00:00,100,96,12/09/2014,Utah,San Antonio,-9.0,-10.48,-8.44,-9.21,-7.52,-7.0,-3.24,-8.1,-8.59,-38.43,-14.0,-9.34,-10.69,-3.01,-7.97,-7.4,,-10.78
316,316,"Wed, Dec 10, 2014",Box Score,Philadelphia 76ers,79,Atlanta Hawks,95,,,2014-12-10 00:00:00,95,79,12/10/2014,Atlanta,Philadelphia,13.5,14.87,13.7,12.74,14.51,13.5,11.03,15.3,14.05,22.57,18.0,12.75,12.89,,15.81,13.9,,16.01
317,317,"Wed, Dec 10, 2014",Box Score,Brooklyn Nets,80,Chicago Bulls,105,,,2014-12-10 00:00:00,105,80,12/10/2014,Chicago,Brooklyn,11.0,6.78,5.81,5.21,6.78,11.5,7.58,10.9,5.49,-1.86,10.0,10.44,5.49,,8.02,7.1,,7.14
318,318,"Wed, Dec 10, 2014",Box Score,Boston Celtics,87,Charlotte Hornets,96,,,2014-12-10 00:00:00,96,87,12/10/2014,Charlotte,Boston,2.5,-1.0,-2.19,-1.41,-2.08,2.0,0.49,4.7,-3.15,-13.15,-1.0,1.62,4.24,,-1.38,0.0,,0.3
319,319,"Wed, Dec 10, 2014",Box Score,New Orleans Pelicans,107,Dallas Mavericks,112,,,2014-12-10 00:00:00,112,107,12/10/2014,Dallas,New Orleans,7.5,7.59,5.31,4.3,5.77,7.0,6.43,9.4,6.03,12.28,9.0,8.26,7.51,,10.12,6.3,,7.91
320,320,"Wed, Dec 10, 2014",Box Score,Miami Heat,82,Denver Nuggets,102,,,2014-12-10 00:00:00,102,82,12/10/2014,Denver,Miami,6.0,3.43,2.96,0.8,3.76,4.0,1.07,4.5,4.72,5.42,6.0,3.01,-1.05,,5.85,3.9,,3.66
321,321,"Wed, Dec 10, 2014",Box Score,Houston Rockets,93,Golden State Warriors,105,,,2014-12-10 00:00:00,105,93,12/10/2014,Golden State,Houston,9.5,5.98,5.76,4.0,7.14,11.0,4.88,9.5,6.03,-7.86,9.0,9.88,5.2,,9.21,7.9,,7.04
322,322,"Wed, Dec 10, 2014",Box Score,Los Angeles Clippers,103,Indiana Pacers,96,,,2014-12-10 00:00:00,96,103,12/10/2014,Indiana,LA Clippers,-6.5,-7.66,-5.65,-6.54,-5.56,-6.0,-2.76,-3.3,-4.87,-28.43,-9.0,-8.08,-5.88,,-6.05,-5.3,,-8.13
323,323,"Wed, Dec 10, 2014",Box Score,Portland Trail Blazers,82,Minnesota Timberwolves,90,,,2014-12-10 00:00:00,90,82,12/10/2014,Minnesota,Portland,-10.0,-10.35,-10.75,-10.52,-11.16,-10.0,-5.25,-6.1,-11.13,-28.14,-9.0,-8.75,-3.24,,-11.42,-9.4,,-9.65
324,324,"Wed, Dec 10, 2014",Box Score,Washington Wizards,91,Orlando Magic,89,,,2014-12-10 00:00:00,89,91,12/10/2014,Orlando,Washington,-4.5,-4.26,-3.84,-3.83,-3.67,-5.0,-3.07,0.2,-4.18,-14.43,-3.0,-4.83,-3.65,,-4.69,-3.2,,-3.24
325,325,"Wed, Dec 10, 2014",Box Score,New York Knicks,95,San Antonio Spurs,109,,,2014-12-10 00:00:00,109,95,12/10/2014,San Antonio,New York,11.0,15.23,12.28,13.26,12.56,9.5,9.1,15.9,11.43,33.29,16.0,14.71,13.43,,17.15,13.7,,15.16
326,326,"Thu, Dec 11, 2014",Box Score,Cleveland Cavaliers,94,Oklahoma City Thunder,103,,,2014-12-11 00:00:00,103,94,12/11/2014,Oklahoma City,Cleveland,4.5,-3.48,-3.67,-4.5,-3.36,2.5,-0.75,0.8,-3.19,-18.15,-3.0,-1.8,1.79,,-3.53,-2.6,,-3.3
327,327,"Thu, Dec 11, 2014",Box Score,Houston Rockets,113,Sacramento Kings,109,OT,,2014-12-11 00:00:00,109,113,12/11/2014,Sacramento,Houston,-1.0,-3.2,-0.67,-2.37,0.81,0.0,0.44,0.5,-0.61,-33.15,-2.0,1.17,-3.48,,1.65,-1.3,,-2.56
328,328,"Fri, Dec 12, 2014",Box Score,Orlando Magic,81,Atlanta Hawks,87,,,2014-12-12 00:00:00,87,81,12/12/2014,Atlanta,Orlando,8.0,9.19,7.83,6.73,8.54,8.5,9.49,9.4,8.35,14.72,12.0,7.84,6.7,11.35,10.28,7.5,,7.98
329,329,"Fri, Dec 12, 2014",Box Score,New York Knicks,101,Boston Celtics,95,,,2014-12-12 00:00:00,95,101,12/12/2014,Boston,New York,7.0,7.6,6.21,6.43,6.32,7.0,7.1,5.7,6.22,31.29,6.0,2.7,1.26,5.55,9.13,6.5,,5.98
330,330,"Fri, Dec 12, 2014",Box Score,Philadelphia 76ers,70,Brooklyn Nets,88,,,2014-12-12 00:00:00,88,70,12/12/2014,Brooklyn,Philadelphia,7.5,8.69,7.76,7.23,8.1,8.0,6.27,10.8,8.14,14.71,7.0,7.75,12.76,2.38,10.26,9.9,,8.64
331,331,"Fri, Dec 12, 2014",Box Score,Portland Trail Blazers,106,Chicago Bulls,115,,,2014-12-12 00:00:00,115,106,12/12/2014,Chicago,Portland,2.5,-0.89,-0.99,-1.71,-0.16,1.0,2.54,6.2,-1.05,-18.29,3.0,1.09,1.27,2.11,-2.37,-2.1,,-2.03
332,332,"Fri, Dec 12, 2014",Box Score,Charlotte Hornets,107,Memphis Grizzlies,113,2OT,,2014-12-12 00:00:00,113,107,12/12/2014,Memphis,Charlotte,10.0,11.01,11.69,11.96,12.47,11.0,10.42,12.6,10.96,4.43,14.0,11.99,7.34,5.85,15.91,10.6,,13.86
333,333,"Fri, Dec 12, 2014",Box Score,Oklahoma City Thunder,111,Minnesota Timberwolves,92,,,2014-12-12 00:00:00,92,111,12/12/2014,Minnesota,Oklahoma City,-8.5,-3.38,-3.32,-1.69,-4.13,-8.5,1.57,-3.5,-4.73,-2.42,-5.0,-7.0,-1.04,-7.55,-2.42,-2.4,,-3.69
334,334,"Fri, Dec 12, 2014",Box Score,Cleveland Cavaliers,114,New Orleans Pelicans,119,,,2014-12-12 00:00:00,119,114,12/12/2014,New Orleans,Cleveland,2.5,-2.28,-0.49,-0.78,-0.35,1.0,2.26,0.4,-0.4,-16.57,-3.0,-2.63,-0.47,-1.71,-3.9,-1.4,,-2.85
335,335,"Fri, Dec 12, 2014",Box Score,Detroit Pistons,105,Phoenix Suns,103,,,2014-12-12 00:00:00,103,105,12/12/2014,Phoenix,Detroit,9.5,13.1,9.85,10.59,9.86,10.0,8.83,12.9,9.76,44.71,15.0,9.33,10.81,7.05,12.96,10.7,,11.07
336,336,"Fri, Dec 12, 2014",Box Score,Los Angeles Lakers,112,San Antonio Spurs,110,OT,,2014-12-12 00:00:00,110,112,12/12/2014,San Antonio,LA Lakers,13.0,13.85,11.28,9.91,11.95,12.5,8.78,16.7,12.19,26.43,17.0,12.4,18.45,7.58,15.52,12.7,,12.97
337,337,"Fri, Dec 12, 2014",Box Score,Indiana Pacers,94,Toronto Raptors,106,,,2014-12-12 00:00:00,106,94,12/12/2014,Toronto,Indiana,9.0,11.21,9.86,9.1,10.55,10.0,9.39,10.7,10.17,27.14,11.0,7.2,8.52,9.97,13.85,8.8,,10.69
338,338,"Fri, Dec 12, 2014",Box Score,Miami Heat,100,Utah Jazz,95,,,2014-12-12 00:00:00,95,100,12/12/2014,Utah,Miami,3.0,-0.7,0.9,-1.59,1.94,1.5,-0.87,1.3,2.89,-12.72,1.0,0.7,-4.08,2.51,2.24,-1.7,,-2.39
339,339,"Fri, Dec 12, 2014",Box Score,Los Angeles Clippers,96,Washington Wizards,104,,,2014-12-12 00:00:00,104,96,12/12/2014,Washington,LA Clippers,-2.5,-0.88,-1.43,-0.85,-1.36,-2.0,1.76,1.0,-2.08,9.71,-4.0,-4.54,-2.24,-4.14,-0.51,-2.1,,-1.56
340,340,"Sat, Dec 13, 2014",Box Score,Brooklyn Nets,114,Charlotte Hornets,87,,,2014-12-13 00:00:00,87,114,12/13/2014,Charlotte,Brooklyn,3.5,1.3,1.05,0.32,1.32,2.5,2.31,4.6,1.62,-10.86,4.0,4.63,1.22,4.77,0.66,0.4,,2.11
341,341,"Sat, Dec 13, 2014",Box Score,Golden State Warriors,105,Dallas Mavericks,98,,,2014-12-13 00:00:00,98,105,12/13/2014,Dallas,Golden State,-1.0,-1.48,-2.83,-3.62,-1.38,2.0,1.18,2.5,-3.57,-3.43,-1.0,-4.18,-0.7,1.95,-1.67,-2.9,,-1.01
342,342,"Sat, Dec 13, 2014",Box Score,Denver Nuggets,96,Houston Rockets,108,,,2014-12-13 00:00:00,108,96,12/13/2014,Houston,Denver,7.5,8.0,6.13,7.53,5.02,7.0,6.86,8.7,6.12,30.15,5.0,3.86,8.96,2.36,7.99,6.9,,6.47
343,343,"Sat, Dec 13, 2014",Box Score,Portland Trail Blazers,95,Indiana Pacers,85,,,2014-12-13 00:00:00,85,95,12/13/2014,Indiana,Portland,-4.5,-6.92,-5.25,-6.31,-4.75,-4.5,-3.44,0.2,-4.64,-38.0,-3.0,-4.62,-3.56,-5.38,-5.85,-5.4,,-6.94
344,344,"Sat, Dec 13, 2014",Box Score,Los Angeles Clippers,106,Milwaukee Bucks,111,,,2014-12-13 00:00:00,111,106,12/13/2014,Milwaukee,LA Clippers,-5.5,-5.92,-4.42,-4.47,-4.9,-5.0,-1.08,-3.8,-3.94,-13.86,-8.0,-6.99,-7.9,-6.11,-5.71,-5.5,,-6.21
345,345,"Sat, Dec 13, 2014",Box Score,Atlanta Hawks,99,Orlando Magic,100,,,2014-12-13 00:00:00,100,99,12/13/2014,Orlando,Atlanta,-3.0,-3.95,-4.2,-4.33,-4.19,-3.5,-3.8,0.8,-4.1,-8.72,-6.0,-3.48,-1.89,-4.52,-3.54,-3.1,,-4.3
346,346,"Sat, Dec 13, 2014",Box Score,Memphis Grizzlies,120,Philadelphia 76ers,115,OT,,2014-12-13 00:00:00,115,120,12/13/2014,Philadelphia,Memphis,-10.0,-10.78,-13.69,-14.78,-13.79,-11.5,-8.31,-8.0,-13.17,3.72,-13.0,-13.47,-11.69,-5.03,-13.35,-13.7,,-12.67
347,347,"Sat, Dec 13, 2014",Box Score,Detroit Pistons,95,Sacramento Kings,90,,,2014-12-13 00:00:00,90,95,12/13/2014,Sacramento,Detroit,5.5,9.68,9.19,10.49,9.35,7.0,8.61,10.3,8.12,19.71,10.0,8.01,6.8,2.85,13.01,10.2,,8.93
348,348,"Sun, Dec 14, 2014",Box Score,San Antonio Spurs,99,Denver Nuggets,91,,,2014-12-14 00:00:00,91,99,12/14/2014,Denver,San Antonio,-4.0,-2.8,-3.23,-3.47,-3.06,-3.5,0.11,-2.1,-3.2,7.57,-2.0,-8.11,-6.93,-3.1,-2.83,-4.8,,-4.01
349,349,"Sun, Dec 14, 2014",Box Score,Chicago Bulls,93,Miami Heat,75,,,2014-12-14 00:00:00,75,93,12/14/2014,Miami,Chicago,-4.5,-2.77,-3.12,-1.63,-3.7,-2.5,-1.17,0.2,-4.48,-8.15,-4.0,-5.15,0.92,-1.42,-3.32,-1.9,,-1.88
350,350,"Sun, Dec 14, 2014",Box Score,Los Angeles Lakers,100,Minnesota Timberwolves,94,,,2014-12-14 00:00:00,94,100,12/14/2014,Minnesota,LA Lakers,-3.0,1.15,-1.39,-1.25,-1.46,-3.0,2.92,1.3,-1.93,15.71,0.01,-2.47,6.68,-2.2,1.12,-0.7,,-0.25
351,351,"Sun, Dec 14, 2014",Box Score,Golden State Warriors,128,New Orleans Pelicans,122,OT,,2014-12-14 00:00:00,122,128,12/14/2014,New Orleans,Golden State,-5.5,-6.17,-6.75,-7.52,-5.32,-5.0,-2.52,-2.0,-7.64,-23.57,-6.0,-4.01,-5.92,4.09,-7.32,-5.5,,-6.34
