,Unnamed: 0,Unnamed: 0.1,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,line_x,game_date,hscore,rscore,date_x,home_x,road_x,line_y,lineavg_x,linesag_x,linesage_x,linesagp_x,lineopen_x,linemoore_x,linepower_x,linenscombo_x,linel2_x,linegametime_x,lineray1_x,linefox_x,linedunk_x,linegirl_x,linegabe_x,lineboyd_x,linemass_x,linedok_x,lineblc_x,line_x,date_y,home_y,road_y,line_y,lineavg_y,linesag_y,linesage_y,linesagp_y,lineopen_y,linemoore_y,linepower_y,linenscombo_y,linel2_y,linegametime_y,lineray1_y,linefox_y,linedunk_y,linegirl_y,linegabe_y,lineboyd_y,linemass_y,linedok_y,lineblc_y
11,11,12,"Wed, Oct 28, 2009",Box Score,New Jersey Nets,93,Minnesota Timberwolves,95,,,0,2009-10-28 00:00:00,95,93,10/28/2009,Minnesota,New Jersey,-1.5,1.93,1.48,1.47,1.51,-1.5,3.0,4.2,.,.,2.0,2.16,-1.0,3.51,1.84,.,.,.,0.6,.,0,10/28/2009,Minnesota,New Jersey,-1.5,1.93,1.48,1.47,1.51,-1.5,3.0,4.2,.,.,2.0,2.16,-1.0,3.51,1.84,.,.,.,0.6,.
12,12,13,"Wed, Oct 28, 2009",Box Score,Sacramento Kings,89,Oklahoma City Thunder,102,,,0,2009-10-28 00:00:00,102,89,10/28/2009,Oklahoma City,Sacramento,7.5,3.78,4.09,4.09,4.08,7.5,3.0,4.8,.,.,7.0,-2.25,8.0,3.55,1.95,.,.,.,3.55,.,0,10/28/2009,Oklahoma City,Sacramento,7.5,3.78,4.09,4.09,4.08,7.5,3.0,4.8,.,.,7.0,-2.25,8.0,3.55,1.95,.,.,.,3.55,.
13,13,14,"Wed, Oct 28, 2009",Box Score,Philadelphia 76ers,106,Orlando Magic,120,,,0,2009-10-28 00:00:00,120,106,10/28/2009,Orlando,Philadelphia,9.5,9.38,9.88,9.93,9.81,8,3.0,12.3,.,.,8.0,12.89,14.0,7.97,9.1,.,.,.,6.84,.,0,10/28/2009,Orlando,Philadelphia,9.5,9.38,9.88,9.93,9.81,8,3.0,12.3,.,.,8.0,12.89,14.0,7.97,9.1,.,.,.,6.84,.
14,14,15,"Wed, Oct 28, 2009",Box Score,New Orleans Hornets,96,San Antonio Spurs,113,,,0,2009-10-28 00:00:00,113,96,10/28/2009,San Antonio,New orleans,10,5.94,6.52,6.53,6.48,8,3.0,8.2,.,.,5.0,5.14,11.0,7.49,0.84,.,.,.,5.73,.,0,10/28/2009,San Antonio,New orleans,10,5.94,6.52,6.53,6.48,8,3.0,8.2,.,.,5.0,5.14,11.0,7.49,0.84,.,.,.,5.73,.
15,15,16,"Wed, Oct 28, 2009",Box Score,Cleveland Cavaliers,91,Toronto Raptors,101,,,0,2009-10-28 00:00:00,101,91,10/28/2009,Toronto,Cleveland,-6,-3.29,-2.9,-2.4,-3.52,-5,3.53,-3.0,.,.,-1.5,-0.4,-7.0,-9.96,-5.83,.,.,.,-2.81,.,0,10/28/2009,Toronto,Cleveland,-6,-3.29,-2.9,-2.4,-3.52,-5,3.53,-3.0,.,.,-1.5,-0.4,-7.0,-9.96,-5.83,.,.,.,-2.81,.
16,16,17,"Thu, Oct 29, 2009",Box Score,San Antonio Spurs,85,Chicago Bulls,92,,,0,2009-10-29 00:00:00,92,85,10/29/2009,Chicago,San Antonio,-3.5,0.02,-0.82,-0.55,-1.06,-3,3.0,0.9,.,.,-0.5,6.09,0.01,-6.18,-0.94,.,.,.,-0.53,.,0,10/29/2009,Chicago,San Antonio,-3.5,0.02,-0.82,-0.55,-1.06,-3,3.0,0.9,.,.,-0.5,6.09,0.01,-6.18,-0.94,.,.,.,-0.53,.
17,17,18,"Thu, Oct 29, 2009",Box Score,Denver Nuggets,97,Portland Trail Blazers,94,,,0,2009-10-29 00:00:00,94,97,10/29/2009,Portland,Denver,7,3.06,2.55,2.77,2.34,4.5,3.52,4.4,.,.,5.0,1.57,5.0,0.83,2.55,.,.,.,2.57,.,0,10/29/2009,Portland,Denver,7,3.06,2.55,2.77,2.34,4.5,3.52,4.4,.,.,5.0,1.57,5.0,0.83,2.55,.,.,.,2.57,.
18,18,19,"Fri, Oct 30, 2009",Box Score,Washington Wizards,89,Atlanta Hawks,100,,,0,2009-10-30 00:00:00,100,89,10/30/2009,Atlanta,Washington,6.5,6.68,6.45,6.52,6.38,5.5,3.0,5.5,.,.,3.5,10.04,8.0,4.92,12.96,.,.,.,6.02,.,0,10/30/2009,Atlanta,Washington,6.5,6.68,6.45,6.52,6.38,5.5,3.0,5.5,.,.,3.5,10.04,8.0,4.92,12.96,.,.,.,6.02,.
19,19,20,"Fri, Oct 30, 2009",Box Score,Chicago Bulls,90,Boston Celtics,118,,,0,2009-10-30 00:00:00,118,90,10/30/2009,Boston,Chicago,11.5,8.86,10.01,9.45,10.78,11.5,3.52,11.6,.,.,8.0,7.98,8.0,9.94,12.91,.,.,.,6.38,.,0,10/30/2009,Boston,Chicago,11.5,8.86,10.01,9.45,10.78,11.5,3.52,11.6,.,.,8.0,7.98,8.0,9.94,12.91,.,.,.,6.38,.
20,20,21,"Fri, Oct 30, 2009",Box Score,New York Knicks,100,Charlotte Bobcats,102,2OT,,0,2009-10-30 00:00:00,102,100,10/30/2009,Charlotte,New York,1.5,2.96,5.87,6.24,5.45,3,3.0,5.2,.,.,4.25,2.63,1.0,-3.82,0.53,.,.,.,5.08,.,0,10/30/2009,Charlotte,New York,1.5,2.96,5.87,6.24,5.45,3,3.0,5.2,.,.,4.25,2.63,1.0,-3.82,0.53,.,.,.,5.08,.
