"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Tue, Oct 30, 2012","Box Score","Washington Wizards","84","Cleveland Cavaliers","94","",""
"2","Tue, Oct 30, 2012","Box Score","Dallas Mavericks","99","Los Angeles Lakers","91","",""
"3","Tue, Oct 30, 2012","Box Score","Boston Celtics","107","Miami Heat","120","",""
"4","Wed, Oct 31, 2012","Box Score","Sacramento Kings","87","Chicago Bulls","93","",""
"5","Wed, Oct 31, 2012","Box Score","Houston Rockets","105","Detroit Pistons","96","",""
"6","Wed, Oct 31, 2012","Box Score","Memphis Grizzlies","92","Los Angeles Clippers","101","",""
"7","Wed, Oct 31, 2012","Box Score","San Antonio Spurs","99","New Orleans Hornets","95","",""
"8","Wed, Oct 31, 2012","Box Score","Denver Nuggets","75","Philadelphia 76ers","84","",""
"9","Wed, Oct 31, 2012","Box Score","Golden State Warriors","87","Phoenix Suns","85","",""
"10","Wed, Oct 31, 2012","Box Score","Los Angeles Lakers","106","Portland Trail Blazers","116","",""
"11","Wed, Oct 31, 2012","Box Score","Indiana Pacers","90","Toronto Raptors","88","",""
"12","Wed, Oct 31, 2012","Box Score","Dallas Mavericks","94","Utah Jazz","113","",""
"13","Thu, Nov 1, 2012","Box Score","Oklahoma City Thunder","84","San Antonio Spurs","86","",""
"14","Fri, Nov 2, 2012","Box Score","Houston Rockets","109","Atlanta Hawks","102","",""
"15","Fri, Nov 2, 2012","Box Score","Milwaukee Bucks","99","Boston Celtics","88","",""
"16","Fri, Nov 2, 2012","Box Score","Indiana Pacers","89","Charlotte Bobcats","90","",""
"17","Fri, Nov 2, 2012","Box Score","Chicago Bulls","115","Cleveland Cavaliers","86","",""
"18","Fri, Nov 2, 2012","Box Score","Memphis Grizzlies","104","Golden State Warriors","94","",""
"19","Fri, Nov 2, 2012","Box Score","Los Angeles Clippers","105","Los Angeles Lakers","95","",""
"20","Fri, Nov 2, 2012","Box Score","Sacramento Kings","80","Minnesota Timberwolves","92","",""
"21","Fri, Nov 2, 2012","Box Score","Utah Jazz","86","New Orleans Hornets","88","",""
"22","Fri, Nov 2, 2012","Box Score","Miami Heat","84","New York Knicks","104","",""
"23","Fri, Nov 2, 2012","Box Score","Portland Trail Blazers","92","Oklahoma City Thunder","106","",""
"24","Fri, Nov 2, 2012","Box Score","Denver Nuggets","89","Orlando Magic","102","",""
"25","Fri, Nov 2, 2012","Box Score","Detroit Pistons","89","Phoenix Suns","92","",""
"26","Sat, Nov 3, 2012","Box Score","Toronto Raptors","100","Brooklyn Nets","107","",""
"27","Sat, Nov 3, 2012","Box Score","New Orleans Hornets","89","Chicago Bulls","82","",""
"28","Sat, Nov 3, 2012","Box Score","Charlotte Bobcats","99","Dallas Mavericks","126","",""
"29","Sat, Nov 3, 2012","Box Score","Portland Trail Blazers","95","Houston Rockets","85","OT",""
"30","Sat, Nov 3, 2012","Box Score","Sacramento Kings","98","Indiana Pacers","106","2OT",""
"31","Sat, Nov 3, 2012","Box Score","Golden State Warriors","114","Los Angeles Clippers","110","",""
"32","Sat, Nov 3, 2012","Box Score","Denver Nuggets","116","Miami Heat","119","",""
"33","Sat, Nov 3, 2012","Box Score","Cleveland Cavaliers","102","Milwaukee Bucks","105","",""
"34","Sat, Nov 3, 2012","Box Score","Utah Jazz","100","San Antonio Spurs","110","",""
"35","Sat, Nov 3, 2012","Box Score","Boston Celtics","89","Washington Wizards","86","",""
"36","Sun, Nov 4, 2012","Box Score","Detroit Pistons","79","Los Angeles Lakers","108","",""
"37","Sun, Nov 4, 2012","Box Score","Philadelphia 76ers","84","New York Knicks","100","",""
"38","Sun, Nov 4, 2012","Box Score","Atlanta Hawks","104","Oklahoma City Thunder","95","",""
"39","Sun, Nov 4, 2012","Box Score","Phoenix Suns","94","Orlando Magic","115","",""
"40","Sun, Nov 4, 2012","Box Score","Minnesota Timberwolves","86","Toronto Raptors","105","",""
"41","Mon, Nov 5, 2012","Box Score","Minnesota Timberwolves","107","Brooklyn Nets","96","",""
"42","Mon, Nov 5, 2012","Box Score","Portland Trail Blazers","91","Dallas Mavericks","114","",""
"43","Mon, Nov 5, 2012","Box Score","Cleveland Cavaliers","108","Los Angeles Clippers","101","",""
"44","Mon, Nov 5, 2012","Box Score","Utah Jazz","94","Memphis Grizzlies","103","",""
"45","Mon, Nov 5, 2012","Box Score","Phoenix Suns","99","Miami Heat","124","",""
"46","Mon, Nov 5, 2012","Box Score","New York Knicks","110","Philadelphia 76ers","88","",""
"47","Mon, Nov 5, 2012","Box Score","Golden State Warriors","92","Sacramento Kings","94","",""
"48","Mon, Nov 5, 2012","Box Score","Indiana Pacers","79","San Antonio Spurs","101","",""
"49","Tue, Nov 6, 2012","Box Score","Orlando Magic","93","Chicago Bulls","99","",""
"50","Tue, Nov 6, 2012","Box Score","Detroit Pistons","97","Denver Nuggets","109","",""
"51","Tue, Nov 6, 2012","Box Score","Toronto Raptors","88","Oklahoma City Thunder","108","",""
"52","Wed, Nov 7, 2012","Box Score","Indiana Pacers","86","Atlanta Hawks","89","",""
"53","Wed, Nov 7, 2012","Box Score","Washington Wizards","94","Boston Celtics","100","OT",""
"54","Wed, Nov 7, 2012","Box Score","Phoenix Suns","117","Charlotte Bobcats","110","",""
"55","Wed, Nov 7, 2012","Box Score","Toronto Raptors","104","Dallas Mavericks","109","",""
"56","Wed, Nov 7, 2012","Box Score","Cleveland Cavaliers","96","Golden State Warriors","106","",""
"57","Wed, Nov 7, 2012","Box Score","Denver Nuggets","93","Houston Rockets","87","",""
"58","Wed, Nov 7, 2012","Box Score","San Antonio Spurs","84","Los Angeles Clippers","106","",""
"59","Wed, Nov 7, 2012","Box Score","Brooklyn Nets","73","Miami Heat","103","",""
"60","Wed, Nov 7, 2012","Box Score","Memphis Grizzlies","108","Milwaukee Bucks","90","",""
"61","Wed, Nov 7, 2012","Box Score","Orlando Magic","75","Minnesota Timberwolves","90","",""
"62","Wed, Nov 7, 2012","Box Score","Philadelphia 76ers","77","New Orleans Hornets","62","",""
"63","Wed, Nov 7, 2012","Box Score","Detroit Pistons","103","Sacramento Kings","105","",""
