"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Tue, Nov 2, 1999","Box Score","Orlando Magic","86","Charlotte Hornets","100","",""
"2","Tue, Nov 2, 1999","Box Score","Golden State Warriors","96","Dallas Mavericks","108","",""
"3","Tue, Nov 2, 1999","Box Score","Phoenix Suns","102","Denver Nuggets","107","OT",""
"4","Tue, Nov 2, 1999","Box Score","Milwaukee Bucks","98","Houston Rockets","93","",""
"5","Tue, Nov 2, 1999","Box Score","Seattle SuperSonics","104","Los Angeles Clippers","92","",""
"6","Tue, Nov 2, 1999","Box Score","Detroit Pistons","122","Miami Heat","128","2OT",""
"7","Tue, Nov 2, 1999","Box Score","Indiana Pacers","119","New Jersey Nets","112","",""
"8","Tue, Nov 2, 1999","Box Score","Cleveland Cavaliers","84","New York Knicks","92","",""
"9","Tue, Nov 2, 1999","Box Score","Philadelphia 76ers","76","San Antonio Spurs","89","",""
"10","Tue, Nov 2, 1999","Box Score","Boston Celtics","103","Toronto Raptors","90","",""
"11","Tue, Nov 2, 1999","Box Score","Los Angeles Lakers","91","Utah Jazz","84","",""
"12","Tue, Nov 2, 1999","Box Score","Portland Trail Blazers","106","Vancouver Grizzlies","86","",""
"13","Tue, Nov 2, 1999","Box Score","Atlanta Hawks","87","Washington Wizards","94","",""
"14","Wed, Nov 3, 1999","Box Score","Washington Wizards","101","Boston Celtics","112","",""
"15","Wed, Nov 3, 1999","Box Score","New York Knicks","84","Chicago Bulls","74","",""
"16","Wed, Nov 3, 1999","Box Score","New Jersey Nets","90","Cleveland Cavaliers","97","",""
"17","Wed, Nov 3, 1999","Box Score","Vancouver Grizzlies","88","Los Angeles Lakers","103","",""
"18","Wed, Nov 3, 1999","Box Score","Detroit Pistons","94","Orlando Magic","103","",""
"19","Wed, Nov 3, 1999","Box Score","Los Angeles Clippers","98","Portland Trail Blazers","121","",""
"20","Thu, Nov 4, 1999","Box Score","Milwaukee Bucks","119","Atlanta Hawks","109","",""
"21","Thu, Nov 4, 1999","Box Score","Indiana Pacers","89","Charlotte Hornets","98","",""
