,Unnamed: 0,Date,Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes,line,game_date
1084,1085,"Sat, Mar 29, 2008",Box Score,Golden State Warriors,112,Denver Nuggets,119,,,-7,0
1085,1086,"Sat, Mar 29, 2008",Box Score,Cleveland Cavaliers,71,Detroit Pistons,85,,,7.5,0
1086,1087,"Sat, Mar 29, 2008",Box Score,Memphis Grizzlies,97,Los Angeles Clippers,110,,,7,0
1087,1088,"Sat, Mar 29, 2008",Box Score,Phoenix Suns,110,New Jersey Nets,104,,,-7.5,0
1088,1089,"Sat, Mar 29, 2008",Box Score,Charlotte Bobcats,93,Portland Trail Blazers,85,,,-1.5,0
1089,1090,"Sun, Mar 30, 2008",Box Score,New York Knicks,109,Atlanta Hawks,114,,,-1,0
1090,1091,"Sun, Mar 30, 2008",Box Score,Miami Heat,62,Boston Celtics,88,,,-3,0
1091,1092,"Sun, Mar 30, 2008",Box Score,Philadelphia 76ers,88,Cleveland Cavaliers,91,,,9,0
1092,1093,"Sun, Mar 30, 2008",Box Score,Dallas Mavericks,104,Golden State Warriors,114,,,2.5,0
1093,1094,"Sun, Mar 30, 2008",Box Score,Washington Wizards,120,Los Angeles Lakers,126,OT,,11,0
1094,1095,"Sun, Mar 30, 2008",Box Score,Utah Jazz,103,Minnesota Timberwolves,110,,,-3,0
1095,1096,"Sun, Mar 30, 2008",Box Score,Houston Rockets,88,San Antonio Spurs,109,,,3,0
1096,1097,"Sun, Mar 30, 2008",Box Score,Sacramento Kings,120,Seattle SuperSonics,107,,,13.5,0
1097,1098,"Sun, Mar 30, 2008",Box Score,New Orleans Hornets,118,Toronto Raptors,111,,,8,0
1098,1099,"Mon, Mar 31, 2008",Box Score,Toronto Raptors,104,Charlotte Bobcats,100,,,-15.5,0
1099,1100,"Mon, Mar 31, 2008",Box Score,Miami Heat,85,Indiana Pacers,105,,,4.5,0
1100,1101,"Mon, Mar 31, 2008",Box Score,Dallas Mavericks,93,Los Angeles Clippers,86,,,16,0
1101,1102,"Mon, Mar 31, 2008",Box Score,Atlanta Hawks,116,Memphis Grizzlies,99,,,10.5,0
1102,1103,"Mon, Mar 31, 2008",Box Score,Denver Nuggets,117,Phoenix Suns,132,,,7,0
1103,1104,"Mon, Mar 31, 2008",Box Score,Washington Wizards,87,Utah Jazz,129,,,-6.5,0
1104,1105,"Tue, Apr 1, 2008",Box Score,Boston Celtics,106,Chicago Bulls,92,,,10.5,0
1105,1106,"Tue, Apr 1, 2008",Box Score,Phoenix Suns,120,Denver Nuggets,126,,,0,0
1106,1107,"Tue, Apr 1, 2008",Box Score,New York Knicks,115,Milwaukee Bucks,119,OT,,9,0
1107,1108,"Tue, Apr 1, 2008",Box Score,Detroit Pistons,94,Minnesota Timberwolves,90,,,5.5,0
1108,1109,"Tue, Apr 1, 2008",Box Score,Philadelphia 76ers,108,New Jersey Nets,99,,,-9.5,0
1109,1110,"Tue, Apr 1, 2008",Box Score,New Orleans Hornets,98,Orlando Magic,97,,,-3,0
1110,1111,"Tue, Apr 1, 2008",Box Score,Houston Rockets,98,Sacramento Kings,99,,,17,0
1111,1112,"Tue, Apr 1, 2008",Box Score,Golden State Warriors,92,San Antonio Spurs,116,,,15.5,0
1112,1113,"Wed, Apr 2, 2008",Box Score,Toronto Raptors,120,Atlanta Hawks,127,OT,,-9,0
1113,1114,"Wed, Apr 2, 2008",Box Score,Indiana Pacers,77,Boston Celtics,92,,,9,0
1114,1115,"Wed, Apr 2, 2008",Box Score,Cleveland Cavaliers,118,Charlotte Bobcats,114,,,2.5,0
1115,1116,"Wed, Apr 2, 2008",Box Score,Golden State Warriors,86,Dallas Mavericks,111,,,17,0
1116,1117,"Wed, Apr 2, 2008",Box Score,Portland Trail Blazers,91,Los Angeles Lakers,104,,,1.5,0
1117,1118,"Wed, Apr 2, 2008",Box Score,New York Knicks,114,Memphis Grizzlies,130,,,4.5,0
1118,1119,"Wed, Apr 2, 2008",Box Score,New Orleans Hornets,106,Miami Heat,77,,,2.5,0
1119,1120,"Wed, Apr 2, 2008",Box Score,Los Angeles Clippers,102,Seattle SuperSonics,84,,,13,0
1120,1121,"Wed, Apr 2, 2008",Box Score,Minnesota Timberwolves,100,Utah Jazz,117,,,-6,0
1121,1122,"Wed, Apr 2, 2008",Box Score,Milwaukee Bucks,110,Washington Wizards,109,,,5,0
1122,1123,"Thu, Apr 3, 2008",Box Score,Chicago Bulls,101,Cleveland Cavaliers,98,,,9.5,0
1123,1124,"Thu, Apr 3, 2008",Box Score,Houston Rockets,95,Portland Trail Blazers,86,,,-9,0
1124,1125,"Thu, Apr 3, 2008",Box Score,Los Angeles Clippers,98,Sacramento Kings,110,,,-14.5,0
1125,1126,"Fri, Apr 4, 2008",Box Score,Philadelphia 76ers,109,Atlanta Hawks,104,,,5,0
1126,1127,"Fri, Apr 4, 2008",Box Score,New Jersey Nets,87,Detroit Pistons,106,,,-8,0
1127,1128,"Fri, Apr 4, 2008",Box Score,Dallas Mavericks,108,Los Angeles Lakers,112,,,6,0
1128,1129,"Fri, Apr 4, 2008",Box Score,Golden State Warriors,117,Memphis Grizzlies,86,,,4.5,0
1129,1130,"Fri, Apr 4, 2008",Box Score,Indiana Pacers,105,Milwaukee Bucks,101,,,-8.5,0
1130,1131,"Fri, Apr 4, 2008",Box Score,New York Knicks,110,New Orleans Hornets,118,,,-8.5,0
1131,1132,"Fri, Apr 4, 2008",Box Score,Minnesota Timberwolves,88,Phoenix Suns,117,,,-12.5,0
1132,1133,"Fri, Apr 4, 2008",Box Score,Houston Rockets,79,Seattle SuperSonics,66,,,4.5,0
1133,1134,"Fri, Apr 4, 2008",Box Score,Charlotte Bobcats,105,Toronto Raptors,100,,,17.5,0
1134,1135,"Fri, Apr 4, 2008",Box Score,San Antonio Spurs,64,Utah Jazz,90,,,10.5,0
1135,1136,"Fri, Apr 4, 2008",Box Score,Miami Heat,95,Washington Wizards,109,,,13.5,0
1136,1137,"Sat, Apr 5, 2008",Box Score,Boston Celtics,101,Charlotte Bobcats,78,,,3,0
1137,1138,"Sat, Apr 5, 2008",Box Score,Washington Wizards,99,Chicago Bulls,87,,,-12.5,0
1138,1139,"Sat, Apr 5, 2008",Box Score,Orlando Magic,101,Cleveland Cavaliers,86,,,-11.5,0
1139,1140,"Sat, Apr 5, 2008",Box Score,Sacramento Kings,118,Denver Nuggets,115,,,-9.5,0
1140,1141,"Sat, Apr 5, 2008",Box Score,Toronto Raptors,90,New Jersey Nets,99,,,-7.5,0
1141,1142,"Sat, Apr 5, 2008",Box Score,Atlanta Hawks,92,Philadelphia 76ers,85,,,4.5,0
1142,1143,"Sun, Apr 6, 2008",Box Score,Milwaukee Bucks,97,Indiana Pacers,105,,,-9,0
1143,1144,"Sun, Apr 6, 2008",Box Score,Houston Rockets,105,Los Angeles Clippers,79,,,7.5,0
1144,1145,"Sun, Apr 6, 2008",Box Score,Detroit Pistons,91,Miami Heat,75,,,15,0
1145,1146,"Sun, Apr 6, 2008",Box Score,Memphis Grizzlies,113,Minnesota Timberwolves,101,,,-10.5,0
1146,1147,"Sun, Apr 6, 2008",Box Score,Golden State Warriors,96,New Orleans Hornets,108,,,2,0
1147,1148,"Sun, Apr 6, 2008",Box Score,Orlando Magic,90,New York Knicks,100,,,9.5,0
1148,1149,"Sun, Apr 6, 2008",Box Score,Dallas Mavericks,105,Phoenix Suns,98,,,4,0
1149,1150,"Sun, Apr 6, 2008",Box Score,San Antonio Spurs,72,Portland Trail Blazers,65,,,6.5,0
1150,1151,"Sun, Apr 6, 2008",Box Score,Los Angeles Lakers,114,Sacramento Kings,92,,,14,0
1151,1152,"Sun, Apr 6, 2008",Box Score,Denver Nuggets,147,Seattle SuperSonics,151,2OT,,-3,0
1152,1153,"Tue, Apr 8, 2008",Box Score,Minnesota Timberwolves,119,Charlotte Bobcats,121,,,5,0
1153,1154,"Tue, Apr 8, 2008",Box Score,Seattle SuperSonics,83,Dallas Mavericks,99,,,4.5,0
1154,1155,"Tue, Apr 8, 2008",Box Score,New York Knicks,98,Detroit Pistons,94,,,-15,0
1155,1156,"Tue, Apr 8, 2008",Box Score,Sacramento Kings,132,Golden State Warriors,140,,,13.5,0
1156,1157,"Tue, Apr 8, 2008",Box Score,Atlanta Hawks,98,Indiana Pacers,112,,,-4.5,0
1157,1158,"Tue, Apr 8, 2008",Box Score,Denver Nuggets,117,Los Angeles Clippers,99,,,4.5,0
1158,1159,"Tue, Apr 8, 2008",Box Score,Phoenix Suns,127,Memphis Grizzlies,113,,,-3,0
1159,1160,"Tue, Apr 8, 2008",Box Score,Chicago Bulls,88,Miami Heat,95,,,5,0
1160,1161,"Tue, Apr 8, 2008",Box Score,Boston Celtics,107,Milwaukee Bucks,104,OT,,-5.5,0
1161,1162,"Tue, Apr 8, 2008",Box Score,Utah Jazz,77,New Orleans Hornets,66,,,-5.5,0
1162,1163,"Tue, Apr 8, 2008",Box Score,Los Angeles Lakers,103,Portland Trail Blazers,112,,,12.5,0
1163,1164,"Wed, Apr 9, 2008",Box Score,New Jersey Nets,83,Cleveland Cavaliers,104,,,4.5,0
1164,1165,"Wed, Apr 9, 2008",Box Score,Seattle SuperSonics,80,Houston Rockets,103,,,1.5,0
1165,1166,"Wed, Apr 9, 2008",Box Score,New Orleans Hornets,122,Minnesota Timberwolves,90,,,15.5,0
1166,1167,"Wed, Apr 9, 2008",Box Score,Charlotte Bobcats,107,New York Knicks,109,,,10,0
1167,1168,"Wed, Apr 9, 2008",Box Score,Chicago Bulls,83,Orlando Magic,115,,,5.5,0
1168,1169,"Wed, Apr 9, 2008",Box Score,Detroit Pistons,94,Philadelphia 76ers,101,,,16.5,0
1169,1170,"Wed, Apr 9, 2008",Box Score,Phoenix Suns,96,San Antonio Spurs,79,,,9,0
1170,1171,"Wed, Apr 9, 2008",Box Score,Milwaukee Bucks,93,Toronto Raptors,111,,,2,0
1171,1172,"Wed, Apr 9, 2008",Box Score,Boston Celtics,95,Washington Wizards,109,,,2.5,0
1172,1173,"Thu, Apr 10, 2008",Box Score,Utah Jazz,94,Dallas Mavericks,97,,,-5,0
1173,1174,"Thu, Apr 10, 2008",Box Score,Denver Nuggets,114,Golden State Warriors,105,,,-12,0
1174,1175,"Thu, Apr 10, 2008",Box Score,Los Angeles Lakers,106,Los Angeles Clippers,78,,,5.5,0
1175,1176,"Fri, Apr 11, 2008",Box Score,Milwaukee Bucks,86,Boston Celtics,102,,,1,0
1176,1177,"Fri, Apr 11, 2008",Box Score,Cleveland Cavaliers,95,Chicago Bulls,100,,,-3.5,0
1177,1178,"Fri, Apr 11, 2008",Box Score,Washington Wizards,74,Detroit Pistons,102,,,17,0
1178,1179,"Fri, Apr 11, 2008",Box Score,Phoenix Suns,90,Houston Rockets,101,,,7,0
1179,1180,"Fri, Apr 11, 2008",Box Score,New Orleans Hornets,104,Los Angeles Lakers,107,,,6,0
1180,1181,"Fri, Apr 11, 2008",Box Score,Memphis Grizzlies,96,Miami Heat,91,,,8.5,0
1181,1182,"Fri, Apr 11, 2008",Box Score,Atlanta Hawks,116,New York Knicks,104,,,-11,0
1182,1183,"Fri, Apr 11, 2008",Box Score,Minnesota Timberwolves,102,Orlando Magic,101,,,2.5,0
1183,1184,"Fri, Apr 11, 2008",Box Score,Indiana Pacers,85,Philadelphia 76ers,76,,,-7.5,0
1184,1185,"Fri, Apr 11, 2008",Box Score,Portland Trail Blazers,86,Sacramento Kings,103,,,5,0
1185,1186,"Fri, Apr 11, 2008",Box Score,Seattle SuperSonics,74,San Antonio Spurs,95,,,4.5,0
1186,1187,"Fri, Apr 11, 2008",Box Score,New Jersey Nets,85,Toronto Raptors,113,,,-4,0
1187,1188,"Sat, Apr 12, 2008",Box Score,Boston Celtics,99,Atlanta Hawks,89,,,17.5,0
1188,1189,"Sat, Apr 12, 2008",Box Score,Los Angeles Clippers,116,Golden State Warriors,122,,,9,0
1189,1190,"Sat, Apr 12, 2008",Box Score,Charlotte Bobcats,107,Indiana Pacers,103,,,4.5,0
1190,1191,"Sat, Apr 12, 2008",Box Score,Minnesota Timberwolves,114,Memphis Grizzlies,105,,,1,0
1191,1192,"Sat, Apr 12, 2008",Box Score,New Jersey Nets,111,Milwaukee Bucks,98,,,7,0
1192,1193,"Sat, Apr 12, 2008",Box Score,Dallas Mavericks,105,Portland Trail Blazers,108,,,17,0
1193,1194,"Sat, Apr 12, 2008",Box Score,New Orleans Hornets,91,Sacramento Kings,94,,,3,0
1194,1195,"Sat, Apr 12, 2008",Box Score,Denver Nuggets,97,Utah Jazz,124,,,16,0
1195,1196,"Sat, Apr 12, 2008",Box Score,Philadelphia 76ers,93,Washington Wizards,109,,,11.5,0
1196,1197,"Sun, Apr 13, 2008",Box Score,Orlando Magic,104,Chicago Bulls,84,,,9.5,0
1197,1198,"Sun, Apr 13, 2008",Box Score,Miami Heat,76,Cleveland Cavaliers,84,,,-1,0
1198,1199,"Sun, Apr 13, 2008",Box Score,Houston Rockets,94,Denver Nuggets,111,,,6.5,0
1199,1200,"Sun, Apr 13, 2008",Box Score,Toronto Raptors,84,Detroit Pistons,91,,,-7.5,0
1200,1201,"Sun, Apr 13, 2008",Box Score,San Antonio Spurs,85,Los Angeles Lakers,106,,,7.5,0
1201,1202,"Sun, Apr 13, 2008",Box Score,Dallas Mavericks,95,Seattle SuperSonics,99,,,15.5,0
1202,1203,"Mon, Apr 14, 2008",Box Score,Chicago Bulls,151,Milwaukee Bucks,135,,,11,0
1203,1204,"Mon, Apr 14, 2008",Box Score,Boston Celtics,99,New York Knicks,93,,,14,0
1204,1205,"Mon, Apr 14, 2008",Box Score,Cleveland Cavaliers,91,Philadelphia 76ers,90,,,6.5,0
1205,1206,"Mon, Apr 14, 2008",Box Score,Golden State Warriors,116,Phoenix Suns,122,,,-4.5,0
1206,1207,"Mon, Apr 14, 2008",Box Score,San Antonio Spurs,101,Sacramento Kings,98,,,7,0
1207,1208,"Mon, Apr 14, 2008",Box Score,Miami Heat,75,Toronto Raptors,91,,,5.5,0
1208,1209,"Mon, Apr 14, 2008",Box Score,Houston Rockets,96,Utah Jazz,105,,,10.5,0
1209,1210,"Mon, Apr 14, 2008",Box Score,Indiana Pacers,110,Washington Wizards,117,,,4.5,0
1210,1211,"Tue, Apr 15, 2008",Box Score,Orlando Magic,121,Atlanta Hawks,105,,,3.5,0
1211,1212,"Tue, Apr 15, 2008",Box Score,Minnesota Timberwolves,103,Detroit Pistons,115,,,1,0
1212,1213,"Tue, Apr 15, 2008",Box Score,Sacramento Kings,101,Los Angeles Lakers,124,,,4,0
1213,1214,"Tue, Apr 15, 2008",Box Score,Charlotte Bobcats,108,New Jersey Nets,112,OT,,4,0
1214,1215,"Tue, Apr 15, 2008",Box Score,Los Angeles Clippers,92,New Orleans Hornets,114,,,15,0
1215,1216,"Tue, Apr 15, 2008",Box Score,Memphis Grizzlies,91,Portland Trail Blazers,113,,,9.5,0
1216,1217,"Wed, Apr 16, 2008",Box Score,New Jersey Nets,94,Boston Celtics,105,,,8,0
1217,1218,"Wed, Apr 16, 2008",Box Score,Philadelphia 76ers,109,Charlotte Bobcats,115,,,7,0
1218,1219,"Wed, Apr 16, 2008",Box Score,Toronto Raptors,97,Chicago Bulls,107,,,2,0
1219,1220,"Wed, Apr 16, 2008",Box Score,Detroit Pistons,84,Cleveland Cavaliers,74,,,1,0
1220,1221,"Wed, Apr 16, 2008",Box Score,New Orleans Hornets,98,Dallas Mavericks,111,,,3.5,0
1221,1222,"Wed, Apr 16, 2008",Box Score,Memphis Grizzlies,111,Denver Nuggets,120,,,6.5,0
1222,1223,"Wed, Apr 16, 2008",Box Score,Seattle SuperSonics,126,Golden State Warriors,121,,,1.5,0
1223,1224,"Wed, Apr 16, 2008",Box Score,Los Angeles Clippers,75,Houston Rockets,93,,,15,0
1224,1225,"Wed, Apr 16, 2008",Box Score,New York Knicks,123,Indiana Pacers,132,,,10,0
1225,1226,"Wed, Apr 16, 2008",Box Score,Atlanta Hawks,99,Miami Heat,113,,,8,0
1226,1227,"Wed, Apr 16, 2008",Box Score,Milwaukee Bucks,101,Minnesota Timberwolves,110,OT,,4,0
1227,1228,"Wed, Apr 16, 2008",Box Score,Washington Wizards,83,Orlando Magic,103,,,9,0
1228,1229,"Wed, Apr 16, 2008",Box Score,Portland Trail Blazers,91,Phoenix Suns,100,,,5,0
1229,1230,"Wed, Apr 16, 2008",Box Score,Utah Jazz,80,San Antonio Spurs,109,,,6,0
