date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,lineopen,linemoore,linepower,linesaggm,linenutshell,linefox,linedok,linetalis,linegrind,linepugh,linedonc,linegt,linedoi
11/03/2014,Brooklyn,116,Oklahoma City,85,7,3.54,2.5,4,-0.6,7.5,3.38,-0.9,3.86,12.57,-1,1,0,7.35,-1.13,9.8,4.7,3.78
11/03/2014,Dallas,118,Boston,113,9.5,8.2,7.95,6.4,13.9,9,2.37,14.2,6.73,-4.37,11,12,11,8.62,10.78,11.2,7.8,5.39
11/03/2014,Denver,105,Sacramento,110,6.5,3.76,9.05,10.2,8.4,8,3.33,7,10.84,3.55,5,8,2,7.55,-1.93,6.2,4.2,-4.23
11/03/2014,LA Clippers,107,Utah,101,9,8.16,11.88,12.1,15.3,9.5,3.9,15,11.95,3.72,12,13,12,8.95,2.92,10.6,9.2,-2.55
11/03/2014,Memphis,93,New Orleans,81,4,4.44,2.43,0.8,6.3,6,3.42,8,-0.01,-4.5,6,9,7,1.06,3.03,12,5,-1.78
11/03/2014,Philadelphia,93,Houston,104,-10.5,-10.9,-10.52,-12.4,-10.7,-10,-0.3,-7.9,-12.99,-12.19,-11,-10,-14,-9.87,-20.87,-6.8,,-15.4
11/04/2014,Chicago,98,Orlando,90,11,13.41,12.57,13.51,14.91,13,5.95,16.8,13.81,12.93,15,16,,6.53,15.88,15.1,12.5,16.27
11/04/2014,Indiana,81,Milwaukee,87,4,5.59,5.46,5.53,7.48,3,3.85,10,5.12,4.16,4,8,,-1.87,6.31,14.1,2.7,3.47
11/04/2014,LA Lakers,106,Phoenix,112,-6.5,-3.13,-4.14,-7.31,-1.24,-6,0.22,3.4,-7.68,-4.12,-6,-3,,-3.76,-5.36,-4,-1.1,0.32
11/04/2014,Miami,91,Houston,108,1.5,2.09,3.18,4.14,1.19,0,2.33,3,4.11,3.14,4,3,,2.2,-1.78,-2.8,0.6,3.01
11/04/2014,New Orleans,100,Charlotte,91,4,4.45,3.35,2.86,4.52,3,3.37,4.4,2.98,14.5,3,3,,4.5,8.52,-3.2,3.2,7.34
11/04/2014,New York,83,Washington,98,-1,1.52,0.58,0.09,1.24,2,1.85,2.5,-0.54,5,4,1,,2.2,-1.38,6.1,0.4,-1.69
11/04/2014,Portland,101,Cleveland,82,-2,0.75,-1.82,-5.03,1.29,-1.5,4,0.4,-4.95,7.2,3,2,,-2.05,7.48,-7.9,1.2,5.64
