"","Date","","Visitor/Neutral","PTS","Home/Neutral","PTS","","Notes"
"1","Tue, Oct 29, 2013","Box Score","Orlando Magic","87","Indiana Pacers","97","",""
"2","Tue, Oct 29, 2013","Box Score","Los Angeles Clippers","103","Los Angeles Lakers","116","",""
"3","Tue, Oct 29, 2013","Box Score","Chicago Bulls","95","Miami Heat","107","",""
"4","Wed, Oct 30, 2013","Box Score","Brooklyn Nets","94","Cleveland Cavaliers","98","",""
"5","Wed, Oct 30, 2013","Box Score","Atlanta Hawks","109","Dallas Mavericks","118","",""
"6","Wed, Oct 30, 2013","Box Score","Washington Wizards","102","Detroit Pistons","113","",""
"7","Wed, Oct 30, 2013","Box Score","Los Angeles Lakers","94","Golden State Warriors","125","",""
"8","Wed, Oct 30, 2013","Box Score","Charlotte Bobcats","83","Houston Rockets","96","",""
"9","Wed, Oct 30, 2013","Box Score","Orlando Magic","115","Minnesota Timberwolves","120","OT",""
"10","Wed, Oct 30, 2013","Box Score","Indiana Pacers","95","New Orleans Pelicans","90","",""
"11","Wed, Oct 30, 2013","Box Score","Milwaukee Bucks","83","New York Knicks","90","",""
"12","Wed, Oct 30, 2013","Box Score","Miami Heat","110","Philadelphia 76ers","114","",""
"13","Wed, Oct 30, 2013","Box Score","Portland Trail Blazers","91","Phoenix Suns","104","",""
"14","Wed, Oct 30, 2013","Box Score","Denver Nuggets","88","Sacramento Kings","90","",""
"15","Wed, Oct 30, 2013","Box Score","Memphis Grizzlies","94","San Antonio Spurs","101","",""
"16","Wed, Oct 30, 2013","Box Score","Boston Celtics","87","Toronto Raptors","93","",""
"17","Wed, Oct 30, 2013","Box Score","Oklahoma City Thunder","101","Utah Jazz","98","",""
"18","Thu, Oct 31, 2013","Box Score","New York Knicks","81","Chicago Bulls","82","",""
"19","Thu, Oct 31, 2013","Box Score","Golden State Warriors","115","Los Angeles Clippers","126","",""
"20","Fri, Nov 1, 2013","Box Score","Toronto Raptors","95","Atlanta Hawks","102","",""
"21","Fri, Nov 1, 2013","Box Score","Milwaukee Bucks","105","Boston Celtics","98","",""
"22","Fri, Nov 1, 2013","Box Score","Miami Heat","100","Brooklyn Nets","101","",""
"23","Fri, Nov 1, 2013","Box Score","Cleveland Cavaliers","84","Charlotte Bobcats","90","",""
"24","Fri, Nov 1, 2013","Box Score","Portland Trail Blazers","113","Denver Nuggets","98","",""
"25","Fri, Nov 1, 2013","Box Score","Dallas Mavericks","105","Houston Rockets","113","",""
"26","Fri, Nov 1, 2013","Box Score","San Antonio Spurs","91","Los Angeles Lakers","85","",""
"27","Fri, Nov 1, 2013","Box Score","Detroit Pistons","108","Memphis Grizzlies","111","OT",""
"28","Fri, Nov 1, 2013","Box Score","Oklahoma City Thunder","81","Minnesota Timberwolves","100","",""
"29","Fri, Nov 1, 2013","Box Score","New Orleans Pelicans","90","Orlando Magic","110","",""
"30","Fri, Nov 1, 2013","Box Score","Utah Jazz","84","Phoenix Suns","87","",""
"31","Fri, Nov 1, 2013","Box Score","Los Angeles Clippers","110","Sacramento Kings","101","",""
"32","Fri, Nov 1, 2013","Box Score","Philadelphia 76ers","109","Washington Wizards","102","",""
"33","Sat, Nov 2, 2013","Box Score","Memphis Grizzlies","99","Dallas Mavericks","111","",""
"34","Sat, Nov 2, 2013","Box Score","Sacramento Kings","87","Golden State Warriors","98","",""
"35","Sat, Nov 2, 2013","Box Score","Cleveland Cavaliers","74","Indiana Pacers","89","",""
"36","Sat, Nov 2, 2013","Box Score","Toronto Raptors","97","Milwaukee Bucks","90","",""
"37","Sat, Nov 2, 2013","Box Score","Charlotte Bobcats","84","New Orleans Pelicans","105","",""
"38","Sat, Nov 2, 2013","Box Score","Chicago Bulls","104","Philadelphia 76ers","107","",""
"39","Sat, Nov 2, 2013","Box Score","San Antonio Spurs","105","Portland Trail Blazers","115","",""
"40","Sat, Nov 2, 2013","Box Score","Houston Rockets","104","Utah Jazz","93","",""
"41","Sun, Nov 3, 2013","Box Score","Boston Celtics","77","Detroit Pistons","87","",""
"42","Sun, Nov 3, 2013","Box Score","Atlanta Hawks","103","Los Angeles Lakers","105","",""
"43","Sun, Nov 3, 2013","Box Score","Washington Wizards","93","Miami Heat","103","",""
"44","Sun, Nov 3, 2013","Box Score","Minnesota Timberwolves","109","New York Knicks","100","",""
"45","Sun, Nov 3, 2013","Box Score","Phoenix Suns","96","Oklahoma City Thunder","103","",""
"46","Sun, Nov 3, 2013","Box Score","Brooklyn Nets","86","Orlando Magic","107","",""
"47","Mon, Nov 4, 2013","Box Score","Minnesota Timberwolves","92","Cleveland Cavaliers","93","",""
"48","Mon, Nov 4, 2013","Box Score","Houston Rockets","118","Los Angeles Clippers","137","",""
"49","Mon, Nov 4, 2013","Box Score","Boston Celtics","88","Memphis Grizzlies","95","",""
"50","Mon, Nov 4, 2013","Box Score","Golden State Warriors","110","Philadelphia 76ers","90","",""
"51","Tue, Nov 5, 2013","Box Score","Utah Jazz","88","Brooklyn Nets","104","",""
"52","Tue, Nov 5, 2013","Box Score","Los Angeles Lakers","104","Dallas Mavericks","123","",""
"53","Tue, Nov 5, 2013","Box Score","San Antonio Spurs","102","Denver Nuggets","94","",""
"54","Tue, Nov 5, 2013","Box Score","Indiana Pacers","99","Detroit Pistons","91","",""
"55","Tue, Nov 5, 2013","Box Score","Phoenix Suns","104","New Orleans Pelicans","98","",""
"56","Tue, Nov 5, 2013","Box Score","Charlotte Bobcats","102","New York Knicks","97","",""
"57","Tue, Nov 5, 2013","Box Score","Houston Rockets","116","Portland Trail Blazers","101","",""
"58","Tue, Nov 5, 2013","Box Score","Atlanta Hawks","105","Sacramento Kings","100","",""
"59","Tue, Nov 5, 2013","Box Score","Miami Heat","104","Toronto Raptors","95","",""
"60","Wed, Nov 6, 2013","Box Score","Utah Jazz","87","Boston Celtics","97","",""
"61","Wed, Nov 6, 2013","Box Score","Toronto Raptors","90","Charlotte Bobcats","92","",""
"62","Wed, Nov 6, 2013","Box Score","Chicago Bulls","80","Indiana Pacers","97","",""
"63","Wed, Nov 6, 2013","Box Score","New Orleans Pelicans","99","Memphis Grizzlies","84","",""
"64","Wed, Nov 6, 2013","Box Score","Cleveland Cavaliers","104","Milwaukee Bucks","109","",""
"65","Wed, Nov 6, 2013","Box Score","Golden State Warriors","106","Minnesota Timberwolves","93","",""
"66","Wed, Nov 6, 2013","Box Score","Dallas Mavericks","93","Oklahoma City Thunder","107","",""
"67","Wed, Nov 6, 2013","Box Score","Los Angeles Clippers","90","Orlando Magic","98","",""
"68","Wed, Nov 6, 2013","Box Score","Washington Wizards","116","Philadelphia 76ers","102","",""
"69","Wed, Nov 6, 2013","Box Score","Phoenix Suns","96","San Antonio Spurs","99","",""
"70","Thu, Nov 7, 2013","Box Score","Atlanta Hawks","107","Denver Nuggets","109","",""
"71","Thu, Nov 7, 2013","Box Score","Los Angeles Lakers","99","Houston Rockets","98","",""
"72","Thu, Nov 7, 2013","Box Score","Los Angeles Clippers","97","Miami Heat","102","",""
"73","Fri, Nov 8, 2013","Box Score","New York Knicks","101","Charlotte Bobcats","91","",""
"74","Fri, Nov 8, 2013","Box Score","Utah Jazz","73","Chicago Bulls","97","",""
"75","Fri, Nov 8, 2013","Box Score","Oklahoma City Thunder","119","Detroit Pistons","110","",""
"76","Fri, Nov 8, 2013","Box Score","Toronto Raptors","84","Indiana Pacers","91","",""
"77","Fri, Nov 8, 2013","Box Score","Dallas Mavericks","108","Minnesota Timberwolves","116","",""
"78","Fri, Nov 8, 2013","Box Score","Los Angeles Lakers","85","New Orleans Pelicans","96","",""
"79","Fri, Nov 8, 2013","Box Score","Boston Celtics","91","Orlando Magic","89","",""
"80","Fri, Nov 8, 2013","Box Score","Cleveland Cavaliers","79","Philadelphia 76ers","94","",""
"81","Fri, Nov 8, 2013","Box Score","Denver Nuggets","103","Phoenix Suns","114","",""
"82","Fri, Nov 8, 2013","Box Score","Sacramento Kings","91","Portland Trail Blazers","104","",""
"83","Fri, Nov 8, 2013","Box Score","Golden State Warriors","74","San Antonio Spurs","76","",""
"84","Fri, Nov 8, 2013","Box Score","Brooklyn Nets","108","Washington Wizards","112","OT",""
